OBJECTID,Y,X,Elevation,Aspect,Curvature,Profile,Plan,Slope,R,G,B,Rain,Valley_Depth,TPI,TRI,SPI,Dis_river,Dis_road,Geology,LULC,Slop_Length,MRVBF,MRRTF,TWI,NDVI,Gully
5789128,4162215.795199999585748,658378.097199999727309,1940,104.0362473,-0.6369328,0.4870662,-0.1498665,7.3579402,12631.0000000,11336.0000000,11576.0000000,354.6760559,252.7453613,-1.3243244,1.8439089,1707.3477783,2240.9921875,2244.3359375,10,14.0000000,179.7138672,0.9476352,0.0194950,9.4532757,0.1838437,G
5789500,4162216.795199999585748,658376.097199999727309,1940,104.0362473,-0.6369328,0.4870662,-0.1498665,7.3579402,12631.0000000,11336.0000000,11576.0000000,354.6760559,249.1149902,1.3783784,1.8439089,1707.3477783,2240.9921875,2244.3359375,10,14.0000000,0.0000000,0.6896068,0.4250051,8.8443823,0.1838437,G
5789871,4162217.795199999585748,658374.097199999727309,1940,104.0362473,-0.6369328,0.4870662,-0.1498665,7.3579402,12631.0000000,11336.0000000,11576.0000000,354.6760559,249.1149902,1.3783784,1.8439089,1707.3477783,2240.9921875,2244.3359375,10,14.0000000,0.0000000,0.6896068,0.4250051,8.8443823,0.1838437,G
5790616,4162219.795199999585748,658371.097199999727309,1940,104.0362473,-0.6369328,0.4870662,-0.1498665,7.3579402,12631.0000000,11336.0000000,11576.0000000,354.6760559,249.1149902,1.3783784,1.8439089,1649.4318848,2240.9921875,2244.3359375,10,14.0000000,0.0000000,0.6896068,0.4250051,8.8443823,0.1838437,G
5791746,4162222.795199999585748,658368.097199999727309,1941,126.8698959,-0.6369328,0.3719687,-0.2649640,8.9228134,12631.0000000,11336.0000000,11576.0000000,354.6760559,249.1149902,1.3783784,1.8439089,1649.4318848,2240.9921875,2244.3359375,10,14.0000000,0.0000000,0.6896068,0.4250051,8.8443823,0.1838437,G
5792508,4162224.795199999585748,658365.097199999727309,1941,126.8698959,-0.6369328,0.3719687,-0.2649640,8.9228134,12631.0000000,11336.0000000,11576.0000000,354.6760559,249.1149902,1.3783784,1.8439089,1649.4318848,2240.9921875,2244.3359375,10,14.0000000,0.0000000,0.6896068,0.4250051,8.8443823,0.1838437,G
5793641,4162227.795199999585748,658361.097199999727309,1945,126.8698959,0.3821597,-0.2802504,0.1019092,8.9228134,12631.0000000,11336.0000000,11576.0000000,354.6760559,249.1149902,1.3783784,1.8439089,1649.4318848,2240.9921875,2244.3359375,10,14.0000000,0.0000000,0.6896068,0.4250051,8.8443823,0.1838437,G
5794019,4162228.795199999585748,658359.097199999727309,1945,126.8698959,0.3821597,-0.2802504,0.1019092,8.9228134,12631.0000000,11336.0000000,11576.0000000,354.6760559,249.1149902,1.3783784,1.8439089,1649.4318848,2268.8229980,2260.2827148,10,14.0000000,0.0000000,0.6896068,0.4250051,8.8443823,0.1838437,G
5796624,4162235.795199999585748,658350.097199999727309,1945,126.8698959,0.3821597,-0.2802504,0.1019092,8.9228134,12986.5000000,11279.5000000,11385.0000000,354.6760559,248.3073730,1.0000000,2.0493901,1750.2727051,2268.8229980,2260.2827148,10,14.0000000,0.0000000,0.4789575,0.3574814,8.0190458,0.1851924,G
5798111,4162239.795199999585748,658346.097199999727309,1945,126.8698959,0.3821597,-0.2802504,0.1019092,8.9228134,12986.5000000,11279.5000000,11385.0000000,354.6690063,248.6818848,-0.2432432,1.0954452,1750.2727051,2268.8229980,2260.2827148,10,14.0000000,247.3554688,0.5696479,0.7849392,9.1995220,0.1703407,G
5799576,4162243.795199999585748,658342.097199999727309,1945,126.8698959,0.3821597,-0.2802504,0.1019092,8.9228134,12986.5000000,11279.5000000,11385.0000000,354.6690063,248.6818848,-0.2432432,1.0954452,1732.0294189,2262.3771973,2237.2905273,10,14.0000000,247.3554688,0.5696479,0.7849392,9.1995220,0.1703407,G
5800668,4162246.795199999585748,658339.097199999727309,1945,126.8698959,0.3821597,-0.2802504,0.1019092,8.9228134,12986.5000000,11279.5000000,11385.0000000,354.6690063,248.6818848,-0.2432432,1.0954452,1732.0294189,2262.3771973,2237.2905273,10,14.0000000,247.3554688,0.5696479,0.7849392,9.1995220,0.1703407,G
5801738,4162249.795199999585748,658334.097199999727309,1947,163.6104584,-0.1273866,0.0224800,-0.1049066,7.9056325,12986.5000000,11279.5000000,11385.0000000,354.6690063,248.6818848,-0.2432432,1.0954452,1732.0294189,2262.3771973,2237.2905273,10,14.0000000,247.3554688,0.5696479,0.7849392,9.1995220,0.1703407,G
5807304,4162266.795199999585748,658322.097199999727309,1947,163.6104584,-0.1273866,0.0224800,-0.1049066,7.9056325,13036.0000000,11389.5000000,11258.0000000,354.4649353,246.8769531,-0.1351351,1.3416408,1776.9641113,2289.6032715,2253.6374512,10,14.0000000,219.3374023,0.5135894,0.3356493,9.1289949,0.1514323,G
